"Accident Year","Accident Date/Time","Cause Category","Cause Subcategory","Net Loss (Barrels)","Barrel loss (%)","Pipeline Location","Pipeline Type","Liquid Type","Liquid Ignition","Liquid Explosion","Pipeline Shutdown","Shutdown_hours","Property Damage Costs","Lost Commodity Costs","Public/Private Property Damage Costs","Emergency Response Costs","Environmental Remediation Costs","Other Costs","All Costs"
2010,"1/1/2010 7:15","INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",21,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,110,1517,0,0,0,0,1627
2010,"1/4/2010 8:30","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,4000,8,0,0,0,0,4008
2010,"1/5/2010 10:30","MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",2,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,0,200,0,0,0,0,200
2010,"1/6/2010 19:30","NATURAL FORCE DAMAGE","TEMPERATURE",0,0,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO",NA,0,200,40,0,11300,0,0,11540
2010,"1/7/2010 13:00","EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",2,0.29,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,20000,150,0,7500,2000,0,29650
2010,"1/8/2010 23:38","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",2237,59.12,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",105.6,76940,167775,150000,1800000,2000000,0,4194715
2010,"1/9/2010 0:15","MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",5,14.29,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,400,0,0,70000,0,70400
2010,"1/9/2010 1:12","NATURAL FORCE DAMAGE","TEMPERATURE",0.24,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO",NA,0,400,13,0,0,0,0,413
2010,"1/10/2010 19:46","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,0,336,0,0,40000,0,40336
2010,"1/11/2010 14:30","ALL OTHER CAUSES","MISCELLANEOUS",0,0,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,50,0,10000,10000,10000,30050
2010,"1/11/2010 14:30","NATURAL FORCE DAMAGE","TEMPERATURE",2237,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",96.25,29360,136233,0,0,0,0,165593
